productCode,productName,productVendor,buyPrice,New_Price
S10_1678,"1969 Harley Davidson Ultimate Chopper","Min Lin Diecast",48.81,57.850
S10_1949,"1952 Alpine Renault 1300","Classic Metal Creations",98.58,117.150
S10_2016,"1996 Moto Guzzi 1100i","Highway 66 Mini Classics",68.99,69.470
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Red Start Diecast",91.02,106.830
S10_4757,"1972 Alfa Romeo GTA","Motor City Art Classics",85.68,78.000
S10_4962,"1962 LanciaA Delta 16V","Second Gear Diecast",103.42,83.870
S12_1099,"1968 Ford Mustang","Autoart Studio Design",95.34,107.285
S12_1108,"2001 Ferrari Enzo","Second Gear Diecast",95.59,113.900
S12_1666,"1958 Setra Bus","Welly Diecast Productions",77.90,78.335
S12_2823,"2002 Suzuki XREO","Unimax Art Galleries",66.27,85.310
S12_3148,"1969 Corvair Monza","Welly Diecast Productions",89.14,85.540
S12_3380,"1968 Dodge Charger","Welly Diecast Productions",75.16,68.720
S12_3891,"1969 Ford Falcon","Second Gear Diecast",83.05,96.510
S12_3990,"1970 Plymouth Hemi Cuda","Studio M Art Models",31.92,49.900
S12_4473,"1957 Chevy Pickup","Exoto Designs",55.70,69.250
S12_4675,"1969 Dodge Charger","Welly Diecast Productions",58.73,67.580
S18_1097,"1940 Ford Pickup Truck","Studio M Art Models",58.33,68.335
S18_1129,"1993 Mazda RX-7","Highway 66 Mini Classics",83.51,80.770
S18_1342,"1937 Lincoln Berline","Motor City Art Classics",60.62,61.370
S18_1367,"1936 Mercedes-Benz 500K Special Roadster","Studio M Art Models",24.26,36.955
S18_1589,"1965 Aston Martin DB5","Classic Metal Creations",65.96,72.220
S18_1662,"1980s Black Hawk Helicopter","Red Start Diecast",77.27,88.845
S18_1749,"1917 Grand Touring Sedan","Welly Diecast Productions",86.70,95.000
S18_1889,"1948 Porsche 356-A Roadster","Gearbox Collectibles",53.90,48.500
S18_1984,"1995 Honda Civic","Min Lin Diecast",93.89,81.125
S18_2238,"1998 Chrysler Plymouth Prowler","Gearbox Collectibles",101.51,91.865
S18_2248,"1911 Ford Town Car","Motor City Art Classics",33.30,40.270
S18_2319,"1964 Mercedes Tour Bus","Unimax Art Galleries",74.86,71.365
S18_2325,"1932 Model A Ford J-Coupe","Autoart Studio Design",58.48,73.565
S18_2432,"1926 Ford Fire Engine","Carousel DieCast Legends",24.92,40.385
S18_2581,"P-51-D Mustang","Gearbox Collectibles",49.00,52.240
S18_2625,"1936 Harley Davidson El Knucklehead","Welly Diecast Productions",24.23,40.285
S18_2795,"1928 Mercedes-Benz SSK","Gearbox Collectibles",72.56,94.375
S18_2870,"1999 Indy 500 Monte Carlo SS","Red Start Diecast",56.76,76.000
S18_2949,"1913 Ford Model T Speedster","Carousel DieCast Legends",60.78,60.655
S18_2957,"1934 Ford V8 Coupe","Min Lin Diecast",34.35,41.230
S18_3029,"1999 Yamaha Speed Boat","Min Lin Diecast",51.61,53.010
S18_3136,"18th Century Vintage Horse Carriage","Red Start Diecast",60.74,62.360
S18_3140,"1903 Ford Model A","Unimax Art Galleries",68.30,78.295
S18_3232,"1992 Ferrari 360 Spider red","Unimax Art Galleries",77.90,94.670
S18_3233,"1985 Toyota Supra","Highway 66 Mini Classics",57.01,63.785
S18_3259,"Collectable Wooden Train","Carousel DieCast Legends",67.56,60.420
S18_3278,"1969 Dodge Super Bee","Min Lin Diecast",49.05,50.205
S18_3320,"1917 Maxwell Touring Car","Exoto Designs",57.54,59.605
S18_3482,"1976 Ford Gran Torino","Gearbox Collectibles",73.49,83.495
S18_3685,"1948 Porsche Type 356 Roadster","Gearbox Collectibles",62.16,80.640
S18_3782,"1957 Vespa GS150","Studio M Art Models",32.95,41.085
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet","Exoto Designs",64.58,62.935
S18_4027,"1970 Triumph Spitfire","Min Lin Diecast",91.92,81.810
